image_name,target
ISIC_8021672,0
ISIC_8868978,0
ISIC_2585839,0
ISIC_0377965,0
ISIC_1805163,0
ISIC_7876793,0
ISIC_2143002,0
ISIC_2081489,0
ISIC_5835178,0
ISIC_7625411,0
ISIC_1168355,0
ISIC_2129020,0
ISIC_8236604,0
ISIC_1145706,0
ISIC_9570207,0
ISIC_7859801,0
ISIC_0418738,0
ISIC_3485709,0
ISIC_7356472,0
ISIC_1608727,0
ISIC_8591013,0
ISIC_8055207,0
ISIC_0975117,0
ISIC_5254524,0
ISIC_7439160,0
ISIC_9239109,0
ISIC_1252797,0
ISIC_2960377,0
ISIC_5504286,0
ISIC_6370748,0
ISIC_5618055,0
ISIC_1502442,0
ISIC_8811120,0
ISIC_8045618,0
ISIC_4242559,0
ISIC_4007911,0
ISIC_8787152,0
ISIC_0702174,0
ISIC_7065617,0
ISIC_4470766,0
ISIC_0868656,0
ISIC_1324390,0
ISIC_2195070,0
ISIC_0568828,0
ISIC_2898108,0
ISIC_1928510,0
ISIC_1355722,0
ISIC_3691925,0
ISIC_9974166,0
ISIC_6000655,0
ISIC_9355671,0
ISIC_0325664,0
ISIC_5361965,0
ISIC_1863917,0
ISIC_9714160,0
ISIC_1385033,0
ISIC_9989156,0
ISIC_5205454,0
ISIC_4776213,0
ISIC_3916064,0
ISIC_8099354,0
ISIC_9808736,0
ISIC_9356306,0
ISIC_8704004,0
ISIC_0374231,0
ISIC_8209860,0
ISIC_8585685,0
ISIC_7264813,0
ISIC_6146415,0
ISIC_0319491,0
ISIC_8686253,0
ISIC_6368084,0
ISIC_9918598,0
ISIC_1384176,0
ISIC_8280581,0
ISIC_7430054,0
ISIC_4347161,0
ISIC_8845891,0
ISIC_5623579,0
ISIC_0696408,0
ISIC_8203033,0
ISIC_8791163,0
ISIC_6996606,0
ISIC_2371892,0
ISIC_0247197,0
ISIC_0112097,0
ISIC_7605678,0
ISIC_2846217,0
ISIC_7778842,0
ISIC_2156197,0
ISIC_2186853,0
ISIC_3598288,0
ISIC_3009877,1
ISIC_2793142,0
ISIC_5972490,0
ISIC_6320017,0
ISIC_7270233,0
ISIC_0835067,0
ISIC_3008399,0
ISIC_5957307,0
ISIC_8937646,0
ISIC_1298253,0
ISIC_0268557,0
ISIC_8117468,0
ISIC_4855628,0
ISIC_4601046,0
ISIC_3611039,0
ISIC_5943775,0
ISIC_0271408,0
ISIC_3881897,0
ISIC_3556039,0
ISIC_1492760,0
ISIC_9886225,0
ISIC_9945993,0
ISIC_0413084,0
ISIC_8654312,0
ISIC_1152051,0
ISIC_0342587,0
ISIC_2792214,0
ISIC_6524810,0
ISIC_9112443,0
ISIC_5490247,0
ISIC_3800941,0
ISIC_0411688,0
ISIC_4897852,0
ISIC_7874576,0
ISIC_5133461,0
ISIC_0180660,0
ISIC_6777714,0
ISIC_6572571,0
ISIC_8397698,0
ISIC_1494033,0
ISIC_1753040,0
ISIC_7885845,0
ISIC_1207811,0
ISIC_2494060,0
ISIC_1779603,0
ISIC_3844983,0
ISIC_4745475,0
ISIC_2221993,0
ISIC_2000959,0
ISIC_0953709,0
ISIC_4752331,0
ISIC_2685044,0
ISIC_5555096,0
ISIC_2727651,0
ISIC_9180507,0
ISIC_9882019,0
ISIC_8333875,0
ISIC_8312576,0
ISIC_1637536,0
ISIC_4477650,0
ISIC_9648013,0
ISIC_9462738,0
ISIC_7104307,0
ISIC_0985874,0
ISIC_0187498,0
ISIC_3440813,0
ISIC_5693881,0
ISIC_9666919,0
ISIC_5659295,0
ISIC_4732460,0
ISIC_0461550,0
ISIC_3165198,0
ISIC_0356611,0
ISIC_3358896,0
ISIC_2440802,0
ISIC_8698452,0
ISIC_9771739,0
ISIC_8591003,0
ISIC_4684714,0
ISIC_8060717,0
ISIC_2685592,0
ISIC_1893232,0
ISIC_3876629,0
ISIC_0602494,0
ISIC_1519891,0
ISIC_4680198,0
ISIC_1122727,0
ISIC_9293970,0
ISIC_7216772,0
ISIC_5179742,0
ISIC_1847556,0
ISIC_2219235,0
ISIC_9356980,0
ISIC_6084191,0
ISIC_6178088,0
ISIC_0159746,0
ISIC_0591011,0
ISIC_5086403,0
ISIC_6697691,0
ISIC_7465753,0
ISIC_8591425,0
ISIC_8435736,0
ISIC_5526118,0
ISIC_6318724,0
ISIC_8135041,0
ISIC_3642043,0
ISIC_4282719,0
ISIC_6533561,0
ISIC_3836576,0
ISIC_3412637,0
ISIC_3215316,0
ISIC_9340280,0
ISIC_6515283,0
ISIC_2284633,0
ISIC_0588855,0
ISIC_3310625,0
ISIC_2754186,0
ISIC_2275597,0
ISIC_8690825,0
ISIC_8311923,0
ISIC_5817346,0
ISIC_1606398,0
ISIC_1733995,0
ISIC_5247560,1
ISIC_1083681,0
ISIC_8327352,0
ISIC_6562217,0
ISIC_7749589,0
ISIC_9598426,0
ISIC_0229600,0
ISIC_6394612,0
ISIC_1882699,0
ISIC_0238491,0
ISIC_9462212,0
ISIC_8408622,0
ISIC_7578777,0
ISIC_9593811,0
ISIC_0953675,0
ISIC_8776941,0
ISIC_0287683,0
ISIC_8879481,0
ISIC_0588322,0
ISIC_7093333,0
ISIC_1973447,0
ISIC_1078707,0
ISIC_9909314,0
ISIC_5608082,0
